case,C2_over_C1,R2_over_R1,temporal_scenarios,max_abs_change_PI_1ms_to_0p5ms,max_abs_change_EII_1ms_to_0p5ms,max_rel_change_MP_1ms_to_0p5ms,max_abs_error_PI_1ms_vs_0p125ms,max_abs_error_EII_1ms_vs_0p125ms,max_rel_error_MP_1ms_vs_0p125ms,max_flow_residual_Ls,max_paw_consistency_cmH2O,PI_EII_refinement_pass
homogeneous,1.0,1.0,18,0.0,0.0,0.0022505048249358405,0.0,0.0,0.003933733071974801,4.440892098500626e-16,1.7763568394002505e-15,True
compliance-dominant_low-C2,0.25,1.0,18,0.00018042369292811666,0.00036084738585628884,0.0024191524953286812,0.00031556885303518634,0.0006311377060705947,0.004228076236871915,6.661338147750939e-16,3.552713678800501e-15,True
compliance-dominant_high-C2,4.0,1.0,18,7.406736644210987e-05,0.00014813473288421974,0.0019850693721840383,0.00012952814449973538,0.00025905628899947075,0.003470121651870601,4.440892098500626e-16,1.7763568394002505e-15,True
resistance-dominant_low-R2,1.0,0.25,18,0.00020461250953429655,0.0004092250190687978,0.002637408537385059,0.00035781680849245046,0.0007156336169850223,0.004608945820301033,1.1102230246251565e-15,1.7763568394002505e-15,True
resistance-dominant_high-R2,1.0,4.0,18,6.822249941917935e-05,0.0001364449988383587,0.002133305574482766,0.00011936675423690479,0.00023873350847375407,0.0037290272356026765,6.661338147750939e-16,1.7763568394002505e-15,True
mixed_low-C2-low-R2,0.25,0.25,18,0.0004387824384124994,0.0008775648768252209,0.002514723518303794,0.000766133517071943,0.001532267034143886,0.0043948556947104684,1.9984014443252818e-15,3.552713678800501e-15,True
mixed_high-C2-high-R2,4.0,4.0,18,0.00011187091330955301,0.0002237418266190505,0.0020791734461079966,0.00019575542511868216,0.0003915108502373088,0.0036344338759393517,6.661338147750939e-16,1.7763568394002505e-15,True
