coarse_dt_s,fine_dt_s,max_abs_change_PI,max_abs_change_EII,max_rel_change_MP
0.004,0.002,0.0018039936687447855,0.003607987337489571,0.010561620432754961
0.002,0.001,0.0008855916518962503,0.0017711833037923341,0.005276813624620904
0.001,0.0005,0.0004387824384124994,0.0008775648768252209,0.002637408537385059
0.0005,0.00025,0.00021839860434363922,0.0004367972086871674,0.0013184548087089468
0.00025,0.000125,0.00010895247431580435,0.00021790494863149767,0.0006591650529303315
